Speaker,Speech
Hanuman Beniwal — Nagaur,"Mr. Chairman, you have given us an opportunity to speak on the 'Sabka Bima Sabki Raksha (Insurance Policy Amendment) Bill 2025. Thank you very much for this. Sir, first of all I would like to clarify through you that we are not against insurance expansion, social security and financial security of the citizen. In fact, increasing the coverage of insurance is the need of the hour, but the question that remains open to everyone is, in whose favor is this Bill? Is it under the common citizens or under the big insurance companies? Honorable Minister must clarify about this in his answer. The government is calling this bill 'insurance for all', but the ground reality is that even today a large section of the population, especially farmers, agricultural laborers, small farmers and rural women, are either out of insurance or are in such insurance whose claims are almost impossible to get. Chairman, Sir, the total EDI is only about 32 percent of the capital. In such a situation, it is completely useless for the government to increase the EDI limit to 100 percent and give full freedom to foreign capital in India. This decision will have serious adverse consequences not only on the Indian economy but also on the Indian insurance sector. Chairman Sir, there is no insurance, it is necessary to get the claim. It is easy to give an insurance policy, but when an accident occurs, an illness occurs or the crop fails, it creates a web of vicarious power. This is not clearly mentioned in this Bill. Therefore, my request to the Minister is that when you answer, what will be the time limit for settlement of the debt after the passing of this Bill? What will be the punishment for wrongful claim rejection? Chairman Sir, if 'protection of all' is really the objective of the government, then first of all claim settlement will have to be made a right. Honorable Minister should speak about this. Mr. Speaker, Privatization and Foreign Capital – This Bill further facilitates private and foreign investment in the insurance sector. The question is, will this make the premium cheaper or will the poor be left out for the benefit? I am saying this again because insurance is not an ordinary business, it is an area of ​​public trust. If only one person is the target, then 'Sabka Bima' will remain a slogan. (date) 1920 hrs"
C. R. Patil — Navsari,"Thank you for giving me the opportunity to speak. He presented some figures during the speech of the Prime Minister's introduction. She spoke about penetration going from 3.3 to 3.7 per cent. With a low base, I think that is dismal, and clearly, we have done more. She also spoke about companies having grown substantially. “Yes”, companies need to grow further if you want to bring in penetration. The world penetration is about 7.7 percent. She spoke of $55, and the world is at about $889. Has the IRDAI been responsible for the increase in companies? Here in the Bill, you have given extra powers to the IRDAI. Sir, Insurance is not a digital product. It is a social safety mechanism. When insurance is taken, no individual thinks, the family thinks about their own safety. They have stood by the bereaved families in times of illness and accidents. So, the test of an insurance reform is simple. Whether it increases security for the common man or increases it for investors, it remains to be seen. Insurance penetration stays low. Large sections of society remain outside the safety net – informal workers, self-employed persons, rural households, migrant labourers, gig workers, women, and elderly dependents. It was a good time until the government listened to them, but the government did not listen to them. So, the most serious change in this Bill is 100 percent FDI insurance. When the EDI was reduced to 74 percent, the House was assured that India would remain in control till then. This was about capital, not privatization. The interests of the insurance holder would be protected, but this has not happened. The Government has moved greatly to 100 percent. I am concluding, I am not saying too much. My simple questions are Is insurance overdrafted? No. Has rural and informal coverage increased? No. Have any port licenses been sold? No. So, the biggest failure of the insurance sector is the claim settlement. Does the Bill have any provisions to improve bill settlements? Sir, it takes 14-14 months for the settlement of ‘PM Sural Bima’ scheme. This is a study by IIM. Sir, the Bill needs to change that somehow. There is so much to say, but I will pause here because I have very short time. Thank you. at 1922"
Rajkumar Roat — Banswara(St),"Mr. Chairman, you provided me an opportunity to speak on the ‘Insurance for All, Protection for All’ Bill, 2025. Thank you for this. The government is saying 'Insurance for all, protection for all', but the truth is that even today India's total insurance transition rate is only 3.7 percent, whereas at the global level it is an average of 7 percent, that is, India is way behind the world. What is even more serious is that in the year 2022 this rate was 4.2 percent and in the year 2024 this rate has further declined. This policy makes it clear that we have weaknesses somewhere or the other. The insurance policy of the government does not reach the poor and vulnerable. Poor and tribal India remains without health insurance. While in the city 73 percent people have life insurance, in rural and tribal areas this figure has come down to only 20 to 22 percent. The ground reality is that only 10 percent of the rural poor have life insurance and the situation is even worse in the tribal areas. In tribal areas, income is not fixed, banks and insurance offices are far away, agents are not able to reach there, for which the government runs special campaigns. The poor and tribals are the most vulnerable group in terms of health insurance. Even today, there are approximately 40 crore people who do not have any health insurance and the Ayushman Yojana has been run by the government. Our subsidy area is near Gajura, so when a person from Rajasthan goes to Gajura, this card was not allowed till last one year, but now the government has woken up and Rajasthan government has also made some provisions and given the budget, so now it is operational. I would especially like that the person from Rajasthan who is going to Gajura should get the benefit of Ayushman Card. This had not been implemented since last one year. Now the government is awake and doing something. Government insurance schemes do not provide protection to the poor. … (Vidhan) Sir, Udayaparru doesn't know what is going on, he stands up whenever you say something. A little care should be taken.… (Legislation) Honorable Speaker (Shri Sadlip Ikia): You are on the table. Sir, lakhs of claims are being rejected in the crop insurance scheme. Bhagwan loan of thousand crore rupees is still pending. Every year, about 16 percent of the policies in the Pradhan Mantri Life Insurance Scheme are lapsing because the premium of Rs 330 is not able to remain in the account of the poor, hence they lapse. … (Legislation) (Iti) Honorable Speaker: Shri Umesh Babubhai Patel, now you start speaking. … (debut) at 1926"
Umeshbhai Patel — Daman And Diu,"Sir, first of all, I would like to commend the Government on the Sabka Bima, Sabka Raksha (Insurance Laws Amendment) Bill, 2025. This Bill is a bold step towards making the insurance sector modern and globally competitive. Provisions like increasing the EDI to 100 per cent, reducing the capital requirement for third party reinsurance defaults, giving stronger powers to IRDAI and providing more independence to LIC are commendable. With this, the goal of insurance for all by the year 2047 will be realized, innovation will increase and access to rural areas will be ensured. Sir, there are some shortcomings in this Bill, which cannot be ignored. The first drawback is that there is no provision for a policy license, that is, a single company is not allowed to issue both life and non-life insurance. Due to this, the related companies will not get the benefit of promotion and the number of new entrants in the market will be limited. Second, there is no provision to reduce the capital requirement for new insurance underwritings. Which may prevent small, medium industries and startups from entering this sector, which will affect financial inclusion. Third, if regulation remains weak, there is a risk of samples from sensitive areas being sent abroad without complete foreign regulator approval, which could impact national security. Fourth, the Bill does not adequately address issues such as consumer protection and data privacy, while in the context of digital insurance it is important that companies can make the Bill more inclusive and balanced. Sir, my advice to the government is to consider reforms to remove these shortcomings. First of all, port licensing should be included so that the companies can work more efficiently and the costs are less. Capital requirements for new entry should be reduced, especially for those companies focusing on rural and high-risk sectors. Strict restrictions on foreign investment should be imposed, as long as there is a minimum investment requirement for local job creation. … (decision) (date) at 1928"
Rajmohan Unnithan — Kasaragod,"Thank you very much, Chairman, Sir. The name of this Bill promises protection for all but in reality it is a blueprint for surrendering India's insurance sector to foreign corporate interests. The Bill exposes the deep hypocrisy of the Government’s Aatmanirbhar Bharat slogan. On the one hand the Government lectures the nation on self-reliance, and on the other hand it allows 100 per cent foreign ownership in a sector that safeguards the life savings of crores of Indians. If this is Aatmanirbhar Bharat, why does the Government believe that foreign capital must fully own and control the Indian insurance companies? Why is Indian capital suddenly inadequate? Why is Indian management not trusted to protect Indian policyholders? Insurance is not a mobile phone or a luxury product. It is a pillar of economic sovereignty. Yet, this Government is saying: ""Take 100 per cent of Indian savings abroad. We have no objection"". This is not self-reliance. This is self-surrender. Let us consider LIC's unmatched contribution. For 68 years, LIC's tied agency model has demonstrated unparalleled effectiveness and reliability, helping LIC maintain its position as the market leader. Even before liberalization in 2000, LIC agents worked tirelessly to deliver exceptional results, contributing to India's financial growth and infrastructural development. LIC's philosophy ""people's money for people's welfare"" has earned it the reputation as the pride of India. Any amendments that compromise this legacy must be reconsidered with utmost caution. Sir, mis-selling through banks is a serious concern. When borrowers are coerced to buy insurance to obtain loans, it raises costs, affects vulnerable individuals, leads to policy lapses, and results in loan defaults worsening NPAS. Even the hon. Finance Minister and IRDAI Chairman have raised concerns about this unethical practice. LIC, in contrast, relies solely on trained agents who ensure transparency, fairness and ethical sales. The proposed amendment to Section 42(2), allowing agents to work for multiple insurers, poses a grave threat. LIC recruits nearly 50 percent of all insurance agents. Opening agents to multiple insurers will discourage companies from investing in recruitment and training, reducing employment opportunities and risking de-growth in the agent workforce. Companies may compete by offering higher incentives, eroding agent loyalty, and shifting focus from policyholder welfare to self-interest. LIC agents currently manage more than 25 products. Open architecture will require knowledge of hundreds of products, resulting in superficial advice and suboptimal customer service. Exclusivity fosters healthy competition. Allowing agents to move freely across companies will dilute innovation and lead to stagnation in the sector. There will be compromise in post-sales service. Insurance is not just selling policies, it is about continuous support. Agents shifting between companies cannot provide consistent after-sales services, harming policyholders. Development Officers are the backbone of LIC. They recruit, train and mentor agents. Their performance is tied to the business generated by their agents, with accountability including possible termination in case of significant decline in business. Allowing agents to work for competing insurers will jeopardize their livelihoods. Hon. Members, the Bill threatens the livelihood of agents and Development Officers, LIC's legacy and operational model, ethical standards in insurance, financial stability, and inclusion of millions of policyholders. Insurance should protect citizens and strengthen national resilience. This Bill does the opposite. Therefore, I categorically reject the Bill and demand that it be withdrawn or referred to a Standing Committee for thorough scrutiny. For these reasons, I strongly and unequivocally oppose the Sabka Bima Sabki Raksha (Amendment of Insurance Laws) Bill, 2025. 1940 hrs"
N. K. Premachandran — Kollam,"Sir, I had submitted that admit card that day. … (Law) There was also a debate in the house along with him. … (Legislation) Honorable Speaker: Justice to you also. … (Legislation) Honorable Speaker: I have admonished the entire House. I have not given justice to the Minister alone, but have given justice to the entire House. …(law)"
N. K. Premachandran — Kollam,"Sir, in clause 3, there are three amendments. That is along with the hospitalization. This may also be added because it includes all the expenses for treatment, both as in-patients and out-patients, including modern medicine and AYUSH. For the time being, AYUSH is not covered under this hospitalization. So, this may also be covered so that the customers may be benefited. That amendment may be accepted. It is a harmless amendment. Honorable Speaker: Do you want to move amendment numbers 1 to 3? Sir, I beg to move: Page 2, line 41,- after “hospitalisation” insert “or the expense for treatment both as inpatient and outpatient including modern and AYUSH”. (1) Page 3, line 4,- after “hospitalisation” insert “or the expense for treatment both as inpatient and outpatient including modern medicine and AYUSH”. (2) Page 4, line 1,- after “agents” insert “or insurance agents of all categories”. (3)"
N. K. Premachandran — Kollam,"Sir, I am moving the Amendment. Insurance intermediary includes … Sir, I beg to move: Page 5, line 25,- for “shall not apply” substitute “shall apply” (4)"
N. K. Premachandran — Kollam,"Sir, along with financial condition, qualification or experience in the insurance sector may also be a … I am moving the amendment. Sir, I beg to move: Page 5, line 43,- after “financial condition” insert “,experience in the insurance sector”.(5)"
N. K. Premachandran — Kollam,"The FDI limit may be brought down to 49 percent. That is my amendment. I beg to move: Page 6, line 19,- for “may extend upto one hundredper cent” substitute “shall be limited upto forty nine per cent” (6) Page 6, lines 23 and 24,- for “may extend upto one hundredper cent” substitute “shall be limited upto forty nine per cent” (7) Page 6, line 24,- for “insurance sector” substitute “public sector insurance”. (8)"
Chandrashekhar Azad — Nagina(Sc),"Sir, I am moving the amendment. Sir, I beg to move: Page 6, line 19,- for “one hundred” substitute “seventy-six” (11)"
Chandrashekhar Azad — Nagina(Sc),"Sir, Sir, I beg to move: Page 6, line 33,- for “one thousand crore,” substitute “ten thousand crore”. (13) Sir, a person worth Rs 1000 crore is being given a chance. My suggestion is that it should be increased to Rs 10 thousand crores."
N. K. Premachandran — Kollam,"Sir, before rejecting the claim of settlement, a reasonable opportunity of being heard be provided to the claimant. I beg to move: Page 8, line 22, - after “date of rejection” insert “with evidence that reasonable opportunity of being heard has been given to the claimant before rejection of claim”. (9)"
K. Radhakrishnan — Alathur(Sc),"Sir, I beg to move: Page 16, lines 43 and 44, - for “two hundred fifty rupees,” substitute “fifty rupees”. (15)"
Naba Charan Majhi — Mayurbhanj(St),"Honorable Speaker Sir, I express my gratitude to the Honorable Yashasvi Prime Minister and the Honorable Railway Minister for approving three new rail lines in my constituency Mayurbhuj, Odisha - Badampahar-Kyjhar, Guru Manhasani-Bagh Reposi, Budhamra-Dakunalia. Will the Hon'ble Railway Minister be pleased to state what is the present status of the three railway line projects and what stage they are in?"
Lavu Sri Krishna Devarayalu — Narasaraopet,"Honorable Speaker, Mayurbhaj is an area which has a natural heritage of the world and Mayurbhaj is one of the most beautiful areas of Odisha. Work on three stations is underway and three relay lines have been approved, which were pending for 50-60 years. He had been suffering from depression since 50-60 years. The question raised by the Honorable Sas de Sir is a very valid question. I would like to tell you briefly about the first station. An investment of Rs 7 crore has been made in Baripada station. His work is almost completed. Work is going on in Badampahad. An investment of Rs 12 crore is taking place there. Building, platform, extension, vaccinating area, all these works are being done here. With an investment of Rs 7 crore, the work of building, platform, lining, road, circulating area, all these are being done in Raigarh Project. Honorable Speaker Sir, reconstruction work is going on at 59 stations in Odisha. Under the Amrit Bharat Yojana, the world's largest station re-development program undertaken by the Honorable Prime Minister, 59 stations in Odisha are being rehabilitated and renovated. Mr. Speaker, Honorable Saas de Sir has told about these three projects. Land acquisition and forest approvals are underway for these three projects. There is a double engine government in Odisha. Very fast and good cooperation is being received from the state government also. As the work progresses, I will continue to keep the honorable MP informed."
Naba Charan Majhi — Mayurbhanj(St),"Speaker Sir, I would like to know through you from the Rail Minister whether any proposal is under consideration of the Government to start a direct rail service between Raigarhpur and Baripada, Odisha to New Delhi? If yes, then what is his present status?"
Lavu Sri Krishna Devarayalu — Narasaraopet,"Speaker sir, it is a good thing that Saas de ji has asked a very specific and to the point question. You also always keep giving guidance to all of us. … (Interruptions) Hon'ble Speaker: I give a lot of guidance, but where do you agree? … (Interruption) Sir, some people believe it, but some people also believe it. … (Interruption) Mr. Speaker, recently three new Gandias were commissioned from Mayurbhaj. Through these three metros, connectivity is available to Kolkata, Rashtriya and Rourkela. These three Ganadayas have a very good influence on the people. Sir, apart from this, whether it is about connectivity to Mayurbhaj or any other corner of the city, many new systems have been launched at this time. Be it Vade Bharat train, Amrit Bharat train or other trains have also been started. If there is a vacancy for the Spanish demand made by the honorable MP, then we will definitely work on it."
Godam Nagesh — Adilabad(St),"Speaker Sir, under Amrit Bharat Yojana, 1337 stations have been identified across the region. We have also designated 40 stations in Telangana. Out of those 40 stations, work on only 4 stations has been completed. In my subsidy area Andalabad, Telangana, two stations have been designated under Amrit Bharat Yojana. Work on one of these stations is in progress. Speaker, I would like to ask the Minister through you whether there is any time limit set for filing the drafts of these Amrit Bharat stations?"
Lavu Sri Krishna Devarayalu — Narasaraopet,"Honorable Speaker, reconstruction of a station in Late Transit is a very difficult task as safety in itself is very important. Rebuilding the station at a time when Gandia is falling is a very complex task in itself. There are many parts of the world, where when redevelopment work of a station takes place, traffic is stopped for three-four years. We cannot do this in India because there is too much traffic in our country. Here 750 crore people travel by rail. Therefore, the work is done with utmost care and giving priority to safety. *SHRI TAMILSELVAN THANGA (THENI): Thank you, Hon. Speaker Sir. This is the 18th Lok Sabha. From 1st Lok Sabha to 18th Lok Sabha, there is a long pending demand from the people of Theni parliamentary constituency to have a new railway line between Dindigul and Sabarimala. My question is whether this railway line will be laid or not. We have been demanding this for the last 70 years. Approximately one crore pilgrims visit Sabarimala every year. Every month 5 lakh pilgrims go to Sabarimala from areas around Dindigul. Therefore, there is a need for starting a new railway line between Dindigul and Lower Camp of Sabarimala in the first phase. I want to know by when you will start this railway line. * Original in Tamil Speaker: Honorable Minister, is your voice coming? … (Interruptions) Hon'ble Speaker: Honorable Members, wait for a minute. Minister, please change the language in Hindi. Is there sound now? *… (Interruption) Sir, the voice is not coming properly.… (Interruption) Hon'ble Speaker: Honorable Member, you speak once again. … (Interruption) *SHRI TAMILSELVAN THANGA (THENI): Sir, can you hear me? Since 1st Lok Sabha till 18th Lok Sabha, including by this Thanga Tamilselvan, this demand is being raised time and again. I would like to know whether a new railway line will be laid between Dindigul and Sabarimala or not. We have been raising this issue in all the Lok Sabhas, and no steps have been taken by them. As many as 1 Crore pilgrims from throughout India visit Sabarimala. Once in a month, as many as 5 lakh Ayyappa devotees visit Sabarimala. Therefore, I urge that it would be beneficial, if hon. Minister helps to start a new railway line between Dindigul and Lower Camp of Sabarimala. Thank you."
Hemant Savara — Palghar(St),"I express my gratitude to Prime Minister Shri Narendra Modi ji and Railway Minister Shri Anashwani Vaishnav ji that very good work is being done by Railways in Palghar. Vasai Mega Tunnel is under development. Palghar Amtri Bharat station is being renovated. Blue train is also going. So far, 104 train stoppages have been provided in Palghar and 99 in Boisar. DFC has also been started, due to which a lot of traffic congestion has also reduced. For a long time, there have been some other routes, like Badra-Ramnagar Express for Boisar and Dadar-Bhusuwal Khanshe Express for Khanshe, Dadar-Bhusuwal Special Express, which has a stoppage at Palghar at 2 o'clock in the night, but it has to have a special stoppage for Dahanu, because at 2 o'clock in the night Local trains are not available and most of the trains that leave from Badra or Mumbai Central go back directly from Borivali, whereas the one that comes to the now-defunct Palghar does not have any stoppage at all. My demand is that all trains should be given stoppage at Palghar. Financial Chairman: OK."
Lavu Sri Krishna Devarayalu — Narasaraopet,"Honorable Speaker, a new city is being established in Palghar. The Vadhan port will thus become one of the largest ports in the world. Respected mother-in-law has also discussed this issue by meeting several times. In a way, a complete master plan is being prepared for the development of Dahanu and Palghar related to the expansion there. At the same time, a number of projects have been undertaken to increase the capacity of Mumbai. Like the honorable MP said that 104 Gandis stop in Palghar and 99 Gandis stop in Boisar. Apart from this, respected Saas de sir has requested for two more Gandyas, I have definitely noted the same. Seeing the absurdity of what can happen in this, I will definitely take action on it. Along with this, work of a new DPR is underway to connect Palghar to Nanak, so that the heart of the city can be connected and the Vadhan Port is also being connected with the DFC and the freight corridor. At the same time, Honorable Speaker Sir, a lot of work has been undertaken to ease the corruption in Mumbai. Currently, the procurement work for 238 new Gandias with automatic door locking system is underway in Mumbai. The focus is on extracting practical solutions while keeping safety in mind. About 120 mail expresses go from Mumbai and about 3,200 suburban ones go, the work of increasing this capacity has also been taken up. Three nap lines have been constructed in Badra. Extension of 24 platform platform is being done in Mumbai Central. Two platforms are being built in Jogeshwari, one platform is being built in Dadar. Six platforms are being built in Vasai Road. Just like the honorable father-in-law sir gave the notice. Five platforms are being built in Panvel Kalboli, six platforms are being built in Kadyan. Extension of NDP is going on in LTT. Six platforms are being built in Parle, so overall, work is going on rapidly to increase the capacity of Mumbai city and all the big cities close to Chennai. Honorable Speaker: Honorable Minister, whenever your questions come, most of the honorable members want to ask supplementary questions. This relay committee is important, hence all members should ask questions in short form and you should also answer in short form, otherwise such a big list will not be cleared. You ask questions one by one. Shri Indra Shekhar."
Hemant Savara — Palghar(St),"Sir, I also have my second supplementary tree. Hon'ble Speaker: Yes, please ask the supplementary. Sir, in Palghar there are small stations like Umrohi, Vaitarna, Gholwad Budi, which fall in grade C or D, so how much work has been done on facilities like sheds, accelerators, lifts or waiting rooms on the platforms there? Honorable Speaker: Hon'ble Minister, please tell us about the subject of contracts on Grade C and D platforms."
Lavu Sri Krishna Devarayalu — Narasaraopet,"Honorable Speaker, work is going on at a fast pace on the number of stations that have been taken up under 'Amatri Bharat Yojana'. Respected Saas Daji has said about the other stations, I will get the feed sent to the team once and Saas Daji should also be taken with him or his representative should be taken with him. With this, we can solve the problems that arise there. Financial Chairman: Shri Indra Shekhar. … (Interruptions) Speaker: Advocate Francis George. If you all ask questions in one line each, I will give supplementary permission. If you ask long questions, I will not allow you."
Francis George — Kottayam,"Sir, there have been a lot of questions for more stops… I have been talking to the hon. Minister regarding stops in my constituency Kottayam in Kerala. The Ernakulam-Kayamkulam MEMU, that mainly caters to students and office goers, hardly stops after Kottayam. People from Kuruppanthara, Ettumanoor, Vaikom Road and Mulanthuruthy have been demanding a stop for a long time. Sir, due to the rush, this MEMU was started from Kollam to Ernakulam but it does not run on Saturday and Sunday. …"
Lavu Sri Krishna Devarayalu — Narasaraopet,"Honorable Speaker, this is the issue of stoppages and I have noted the request of Mr. Saas."
V. D. Sharma — Khajuraho,"Speaker Sir, I would like to request the Honorable Minister through you that I have met the Honorable Minister and demanded some stoppages at Rithi, Patauha and Sleemanabad stations of Katni. Also, I have mentioned the stoppage of the train at Dabra Rail Way station near Khajru Hai in Chhatarpur in my subsidy area, which used to be there earlier, but was stopped later. Honorable Speaker, this is my request to the Minister through you."
Lavu Sri Krishna Devarayalu — Narasaraopet,"Honorable Speaker, any number of stoppage issues can be noted. It is not possible to tell about the stoppages of each train here. Hon'ble Speaker: This is correct. If any honorable member asks a stoppage question, it will not be answered. … (Interruption) Hon'ble Speaker: You should meet the Minister and discuss about the stoppage. After asking the question, it comes in the notice of the Minister and even in the area it seems that we have asked it. Mr. Sher is not afraid."
Sambit Patra — Puri,"Speaker Sir, I thank you for giving me the opportunity to speak in the Question Hour on the subject of Railways. Speaker Sir, when I met the Minister for the first time, the first thing I asked for was to run a train from our capital Didigarh to Fanjalka. Our district has been completely washed away in the flood again and again and because of that people's land and crops were also taken away. The private bus drivers there charge Rs 1000-1000… (interruption)"
Lavu Sri Krishna Devarayalu — Narasaraopet,"Sir, we have noted the issue of Fanjalka to Didigarh. (in) Hon'ble Speaker: If everyone's topics are being noted, then I come to the next question. Question No. 243. (Question 243)"
Anil Firojiya — Ujjain(Sc),"Sir, through you I would like to ask the Honorable Minister, what are the figures of production and supply of coal in India? Are we doing better than last year? Sir, my second question is also related to this. Hon'ble Speaker: You can ask the second supplementary after this."
Magunta Sreenivasulu Reddy — Ongole,"Respected Speaker, today in India, be it the NG sector, power generation sector, steel sector, cement sector or different aluminum or manufacturing sectors, coal has great utility in them. In the last 10 years, new reforms have been brought in the coal sector under the leadership of the Prime Minister. Today I can say with pride that last year, for the first time, almost one billion tonnes of coal was produced in India. Be it coal production or supply, there has been no shortage of it this year or even last year. You might know what was the status of coal earlier, but today due to various reforms, coal supply and production is being done properly in every sector by the government and PSUs."
Anil Firojiya — Ujjain(Sc),"Sir, I would like to know from you why the government is laying so much emphasis on coal gasification? Which state has been identified as coal gasification?"
Magunta Sreenivasulu Reddy — Ongole,"Mr. Speaker, today India is the world's second largest producer of coal, also the second largest consumer and has the fifth largest coal reserve. We have calculated that we have coal reserves of about 60 years. That is why coal should be used extensively today. Not just through the traditional system, but through gasification for making saltpeter, for making Syngas (synthetic gas), the alternative sectors which are available in India in different sectors, be it crude oil, petrol and diesel, everything is based on it. If we are successful in gasification this year in different sectors, then India has no shortage of coal. Whatever we import worth Rs 2 lakh 77 thousand 214 crore, be it ammonia, coal, diesel, aviation fuel, natural gas or urea, we can produce such products through gasification. That is why the respected Prime Minister has a clear hope that in the coming days, along with the traditional supply, we will develop gasification by the Government of India. As the honorable member asked - Jharkhand is also there, Chhattisgarh is also there and Odisha is also there. Coal gasification and regroud work is also being done in deep seated places."
Konda Vishweshwar Reddy — Chevella,"Sir, I would like to ask the hon. Minister which are the sectors that will be impacted by coal gasification in terms of production of ammonium nitrate. Is the Government planning underground coal gasification for economic viability?"
Magunta Sreenivasulu Reddy — Ongole,"Underground Coal Gasification: About 40 percent of the coal in India lies below 300 metres. For this, an underground coal mine will have to be built and apart from this, for the first time, the acquisition of 21 coal mines is in the process to develop the activity of this gasification through underground passage through underground coal gasification (UGC). After the process, we will use underground coal mines. So far we can tell you about the coal that will be used by it, be it pulverizer, hydrogen, methanol, ethanol, ammonia, urea, synthetic SNG, all such products can be produced through coal gas in India. We are also developing its technology at the indigenous level in India. We are also talking to bring this technology from different sources. We are moving forward in this also by doing separate minutes with our stake holders."
Pradyut Bordoloi — Nagaon,"Sir, coal burning is very damaging to the environment. Especially, the coal that we derive from the North-East Region causes more damage because the coal produced by North Eastern Coalfields (NEC), a unit of Coal India Limited, has high sulfur content and has the highest calorific value in India. The North Eastern Coalfields as well as the private coal mining companies that the Government has allowed for mining are operating in Kharsang district of Arunachal Pradesh. If the Government allows coal burning, this will cause damage to the environment. There was an empirical evidence that the coal produced in the North-East Region has got high sulfur content and minerals. There was a project taken up by Oil India Limited to derive crude oil from Assam coal. I would like to know if the Government has any project like this to derive crude oil by gasification of coal in the North-East Region?"
Magunta Sreenivasulu Reddy — Ongole,"Honorable Speaker, we are planning to develop science gas by using the technology of coal gasification in deep sintered coal. Till now seven projects have been planned in India, Arunil Prush is not included in them. Out of these, foundation stone laying ceremony of two projects has been done and technology type-up for four projects has been done by different companies. Four projects of coal gasification have been started by Coal India and other PSUs. It has two ground brains. In this, the private sector, near which L Itiyanad has started the program of Bhoomi Pujan. Some work will proceed by the year 2027. Our target is to gasify 100 million tonnes of coal by the year 2030. Because our country is importing a lot of new capital for this. We can earn foreign currency and coal gasification is needed to make India a developed India. We have recently started two coal mines in Arunachal Pradesh. Their auction is about to take place and production is also about to start. I want to tell that the quality of coal of Arunachal Pradesh is good and the quality is also good. For the first time, under the leadership of respected Prime Minister Narendra Modi, the auction of coal blocks of Arunul Pradesh was held. Arunachal Pradesh government is also cooperating with us. The economic condition of coal blocks will improve in the coming days. The State Government will also get revenue and the youth of Arunachal Pradesh will also get employment. After experimenting with this gasification, we will move ahead. High quality coal is in your Arunul region. I request you to give full cooperation on behalf of Arunil Prashe. Financial Speaker: Honorable Member Arunachal is not from Prussia but from Assam."
Shyamkumar (Bablu) Barve — Ramtek(Sc),"I would like to know from you Honorable Minister whether WCL subsidiary works in my area. The mines which were there for 35-40 years have now been closed. Have you thought of setting up any new industry there, because you have transferred WTCL employees from there. Have you made any provision on behalf of WCL to ensure that there is local employment?"
Magunta Sreenivasulu Reddy — Ongole,"Speaker, I will inform the honorable member about all the details regarding that coal block."
Nishikant Dubey — Godda,"Speaker Sir, in reply to Question No. 252, the Honorable Minister has said that 40 coal bed methane blocks have been auctioned, out of which only 15 have been operationalized. Coal bed methane, coal to nalqued, coal to gas and coal to salt salts are important. When the ban was imposed in South Africa, he carried forward the Coal to Liquefied project due to which the price of crude oil increased to $30 per barrel. I request the Minister through you, regarding the four things you are saying, our dependence on impromptu will be reduced. Rajmahal Coal Block in Jharkhand is the largest coal block of Asia. The people in that area have bid, if they have not started the work then will you blacklist their wives? Such a company takes up the project but does not start or complete the project on time."
Magunta Sreenivasulu Reddy — Ongole,"The coal blocks taken in Pannaya auction include underground coal mines and also open cast mines. For the first time we are auctioning underground gasification. We give notice to those companies who do not start production on time. During the time period, the coal blocks are also destroyed by taking raw juice from them and if required. After taking coal blocks into auction, we have also canceled the allocation of those companies which do not extract coal on time and do not produce it. After considering the question asked by the honorable member, we will give him a report. (Inat) (Question 244)"
C. M. Ramesh — Anakapalli,"Sir, through you I would like to inform the Honorable MPs and the House that under the leadership of the Honorable Prime Minister, 5G is not India's success story, rather 5G has become a worldwide success story. I say again and again that India followed the world on 4G in 5G technology. India marched with the world on 5G. We will lead the world on 6G. Sir, the story of 5G is that its implementation started in the year 2023 and till date we have deployed around 5 lakh BTS through 5G. 5G connectivity is available in 767 districts out of our 778 districts. This means that all our destructibles can be covered up to 99.9 percent. Along with this, overall, till date, out of our 100 crore subscribers, 36 crore are 5G consumers. My forecast is that by the year 2026 this will increase to 42 crore and by the year 2030 this figure will increase to 100 crore out of 120 crore consumers, so 5G is the success story of India and on the basis of 5G, we are also moving towards 6G on the basis of continuous progress. Honorary Chairman: Natru Dayanand Maran ji. THIRU DAYANIDHI MARAN (CHENNAI CENTRAL): Thank you, hon. Speaker, Sir. I have great admiration for our Minister. He is a dynamic minister. I have a question in two parts. While we are talking about the connectivity to the rural part of India, it is still a struggle to get broadband services to the rural part of India. While we have tied up with Starlink and Elon Musk's service, it is yet to start in India. Moreover, it seems to be that we are making it more expensive for our Indians, especially people who are living in the villages. Why is that so? Why cannot we make it affordable? That is one part. The second part is this. I am sure that Speaker, Sir, will also be interested. If you look at the global map of the world, and you see, when you travel in an international flight, there is one red spot where you cannot get internet service. That is throughout India. When we are developed, when we have our own services, and our Minister says, assuring that we will lead the world in 6G, why is it that you are banning internet services in our areas? Just imagine the amount of commerce and business that will develop for domestic passengers as well, because we are also cut off. I travel from Chennai to Delhi. For two-and-a-half hours, I was without any internet or anything. Why is that the Government of India is not making an effort to make sure that we get internet service all over our country? Thank you, Sir. Honorable Speaker: Okay, you will spend two and a half hours on mobile. If possible, sell from mobile. You are sleeping for two and a half hours, that is a good thing."
